"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.lifeusa.org/volunteer","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/careers","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/fundraising","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE9MAK","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_blank","noopener noreferrer","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/footer/div/c-footer/section/div/div[@class='keywords']/a[3]","Header","HTML"
"Hyperlink","https://www.lifeusa.org/doublethedonation","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://donate.lifeusa.org/donorportal/SelfRegister","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_blank","noopener noreferrer","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/footer/div/c-footer/section/div/div[@class='keywords']/a[3]","Header","HTML"
"Hyperlink","https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE8MAK","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_blank","noopener noreferrer","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/footer/div/c-footer/section/div/div[@class='keywords']/a[3]","Header","HTML"
"Hyperlink","https://www.lifeusa.org/no","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/no/categories/life-blog","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/no/categories/giving-charity","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
